CV,Job Description,Model,Score,Top Skills
cv-00001.txt,job-00007.txt,Word2Vec,0.8443197876214981,"R (1.00), IoT (0.86), SQL (0.84)"
cv-00001.txt,job-00007.txt,ChatGPT,0.2,"Java (0.85), SQL (0.70), Agile (0.30)"
cv-00001.txt,job-00008.txt,BERT,0.8302401840686798,"R (1.00), IoT (0.95), SQL (0.94)"
cv-00001.txt,job-00008.txt,Word2Vec,0.8432373732328415,"R (1.00), IoT (0.88), SQL (0.83)"
cv-00001.txt,job-00008.txt,ChatGPT,0.2,"SQL (0.95), R (0.80), Agile (0.30)"
cv-00001.txt,job-00009.txt,BERT,0.8359609693288803,"R (1.00), IoT (0.95), SQL (0.94)"
cv-00001.txt,job-00009.txt,Word2Vec,0.8443419605493545,"R (1.00), IoT (0.85), SQL (0.83)"
cv-00001.txt,job-00009.txt,ChatGPT,0.6,"Python (0.95), SQL (0.85), R (0.80)"
cv-00001.txt,job-00010.txt,BERT,0.8367405712604523,"R (1.00), IoT (0.95), SQL (0.95)"
cv-00001.txt,job-00010.txt,Word2Vec,0.8439228385686874,"R (1.00), IoT (0.85), SQL (0.83)"
cv-00001.txt,job-00010.txt,ChatGPT,0.2,"C++ (0.85), Linux (0.60), Git (0.10)"
cv-00002.txt,job-00001.txt,BERT,1.0,"Kubernetes (1.00), Docker (0.98), Python (0.81)"
cv-00002.txt,job-00001.txt,Word2Vec,1.0,"Docker (1.00), Python (0.89), Kubernetes (0.82)"
cv-00002.txt,job-00001.txt,ChatGPT,0.4,"Docker (0.85), Kubernetes (0.85), AWS (0.30)"
cv-00002.txt,job-00002.txt,BERT,1.0,"Kubernetes (1.00), Docker (0.98), Python (0.82)"
cv-00002.txt,job-00002.txt,Word2Vec,1.0,"Docker (1.00), Python (0.89), Kubernetes (0.81)"
cv-00002.txt,job-00002.txt,ChatGPT,0.2,"AWS (0.30), Docker (0.85), Kubernetes (0.85)"
cv-00002.txt,job-00003.txt,BERT,1.0,"Kubernetes (1.00), Docker (0.98), Python (0.82)"
cv-00002.txt,job-00003.txt,Word2Vec,1.0,"Docker (1.00), Python (0.89), Kubernetes (0.82)"
cv-00002.txt,job-00003.txt,ChatGPT,0.4,"AWS (0.30), Kubernetes (0.45), Jenkins (0.30)"
cv-00002.txt,job-00004.txt,BERT,1.0,"Kubernetes (1.00), Docker (0.98), Python (0.82)"
cv-00002.txt,job-00004.txt,Word2Vec,1.0,"Docker (1.00), Python (0.89), Kubernetes (0.82)"
cv-00002.txt,job-00004.txt,ChatGPT,0.4,"Docker (0.85), Kubernetes (0.85), AWS (0.30)"
cv-00002.txt,job-00005.txt,BERT,1.0,"Kubernetes (1.00), Docker (0.98), Python (0.81)"
cv-00002.txt,job-00005.txt,Word2Vec,1.0,"Docker (1.00), Python (0.89), Kubernetes (0.83)"
cv-00002.txt,job-00005.txt,ChatGPT,0.6,"Docker (0.95), Kubernetes (0.95), AWS (0.30)"
cv-00002.txt,job-00006.txt,BERT,1.0,"Kubernetes (1.00), Docker (0.98), Python (0.82)"
cv-00002.txt,job-00006.txt,Word2Vec,1.0,"Docker (1.00), Python (0.89), Kubernetes (0.82)"
cv-00002.txt,job-00006.txt,ChatGPT,0.2,"Python (0.90), Docker (0.80), Kubernetes (0.80)"
cv-00002.txt,job-00007.txt,BERT,1.0,"Kubernetes (1.00), Docker (0.98), Python (0.82)"
cv-00002.txt,job-00007.txt,Word2Vec,1.0,"Docker (1.00), Python (0.90), Kubernetes (0.81)"
cv-00002.txt,job-00007.txt,ChatGPT,0.4,"Docker (0.85), Kubernetes (0.85), AWS (0.30)"
cv-00002.txt,job-00008.txt,BERT,1.0,"Kubernetes (1.00), Docker (0.99), Python (0.82)"
cv-00002.txt,job-00008.txt,Word2Vec,1.0,"Docker (1.00), Python (0.88), Kubernetes (0.81)"
cv-00002.txt,job-00008.txt,ChatGPT,0.2,"Docker (0.95), Kubernetes (0.95), AWS (0.30)"
cv-00002.txt,job-00009.txt,BERT,1.0,"Kubernetes (1.00), Docker (0.98), Python (0.81)"
cv-00002.txt,job-00009.txt,Word2Vec,1.0,"Docker (1.00), Python (0.90), Kubernetes (0.83)"
cv-00002.txt,job-00009.txt,ChatGPT,0.4,"Docker (0.95), Kubernetes (0.95), AWS (0.30)"
cv-00002.txt,job-00010.txt,BERT,1.0,"Kubernetes (1.00), Docker (0.98), Python (0.82)"
cv-00002.txt,job-00010.txt,Word2Vec,1.0,"Docker (1.00), Python (0.90), Kubernetes (0.82)"
cv-00002.txt,job-00010.txt,ChatGPT,0.2,"Docker (0.80), Kubernetes (0.80), AWS (0.30)"
cv-00003.txt,job-00001.txt,BERT,1.0,"Cryptographie (1.00), Forensics (0.98), C++ (0.98)"
cv-00003.txt,job-00001.txt,Word2Vec,1.0,"Forensics (1.00), C++ (0.84), Cryptographie (0.84)"
cv-00003.txt,job-00001.txt,ChatGPT,0.4,"Python (0.95), Cybersécurité (0.30), Cryptographie (0.95)"
cv-00003.txt,job-00002.txt,BERT,1.0,"Cryptographie (1.00), C++ (0.98), Forensics (0.98)"
cv-00003.txt,job-00002.txt,Word2Vec,1.0,"Forensics (1.00), C++ (0.84), Cryptographie (0.84)"
cv-00003.txt,job-00002.txt,ChatGPT,0.2,"Cryptographie (0.95), Forensics (0.95), Français (0.30)"
cv-00003.txt,job-00003.txt,BERT,1.0,"Cryptographie (1.00), Forensics (0.99), C++ (0.98)"
cv-00003.txt,job-00003.txt,Word2Vec,1.0,"Forensics (1.00), C++ (0.85), Cryptographie (0.85)"
cv-00003.txt,job-00003.txt,ChatGPT,0.2,"Cybersécurité (0.45), Cryptographie (0.95), Français (0.00)"
cv-00003.txt,job-00004.txt,BERT,1.0,"Cryptographie (1.00), C++ (0.98), Forensics (0.98)"
cv-00003.txt,job-00004.txt,Word2Vec,1.0,"Forensics (1.00), C++ (0.85), Cryptographie (0.85)"
cv-00003.txt,job-00004.txt,ChatGPT,0.6,"Python (0.85), Cryptographie (0.95), Forensics (0.95)"
cv-00003.txt,job-00005.txt,BERT,1.0,"Cryptographie (1.00), C++ (0.98), Forensics (0.98)"
cv-00003.txt,job-00005.txt,Word2Vec,1.0,"Forensics (1.00), C++ (0.86), Cryptographie (0.86)"
cv-00003.txt,job-00005.txt,ChatGPT,0.4,"Python (0.45), Cybersécurité (0.30), Cryptographie (0.30)"
cv-00003.txt,job-00006.txt,BERT,1.0,"Cryptographie (1.00), C++ (0.98), Forensics (0.98)"
cv-00003.txt,job-00006.txt,Word2Vec,1.0,"Forensics (1.00), C++ (0.85), Cryptographie (0.85)"
cv-00003.txt,job-00006.txt,ChatGPT,0.4,"Python (0.85), Cybersécurité (0.30), Cryptographie (0.65)"
cv-00003.txt,job-00007.txt,BERT,1.0,"Cryptographie (1.00), C++ (0.99), Forensics (0.98)"
cv-00003.txt,job-00007.txt,Word2Vec,1.0,"Forensics (1.00), C++ (0.84), Cryptographie (0.84)"
cv-00003.txt,job-00007.txt,ChatGPT,0.4,"Java (0.95), Développement web (0.60), Anglais (0.50)"
cv-00003.txt,job-00008.txt,BERT,1.0,"Cryptographie (1.00), Forensics (0.99), C++ (0.98)"
cv-00003.txt,job-00008.txt,Word2Vec,1.0,"Forensics (1.00), C++ (0.84), Cryptographie (0.84)"
cv-00003.txt,job-00008.txt,ChatGPT,0.2,"Cybersécurité (0.75), Cryptographie (0.95), Forensics (0.75)"
cv-00003.txt,job-00009.txt,BERT,1.0,"Cryptographie (1.00), Forensics (0.98), C++ (0.98)"
cv-00003.txt,job-00009.txt,Word2Vec,1.0,"Forensics (1.00), C++ (0.85), Cryptographie (0.85)"
cv-00003.txt,job-00009.txt,ChatGPT,0.4,"Python (0.90), Cybersécurité (0.30), Cryptographie (0.95)"
cv-00003.txt,job-00010.txt,BERT,1.0,"Cryptographie (1.00), C++ (0.99), Forensics (0.98)"
cv-00003.txt,job-00010.txt,Word2Vec,1.0,"Forensics (1.00), C++ (0.85), Cryptographie (0.85)"
cv-00003.txt,job-00010.txt,ChatGPT,0.4,"C++ (0.95), Cryptographie (0.90), Cybersécurité (0.30)"
cv-00004.txt,job-00001.txt,BERT,0.9114761769771575,"Java (1.00), Node.js (0.92), React (0.81)"
cv-00004.txt,job-00001.txt,Word2Vec,0.9159125864505768,"Java (1.00), Node.js (0.85), React (0.77)"
cv-00004.txt,job-00001.txt,ChatGPT,0.2,"Développement Mobile: iOS (Swift) (0.85), Développement Mobile: Android (Kotlin) (0.75), Backend: Node.js (0.60)"
cv-00004.txt,job-00002.txt,BERT,0.9116322994232178,"Java (1.00), Node.js (0.91), React (0.82)"
cv-00004.txt,job-00002.txt,Word2Vec,0.9160911679267882,"Java (1.00), Node.js (0.85), React (0.77)"
cv-00004.txt,job-00002.txt,ChatGPT,0.2,"Développement Mobile : iOS (Swift) (0.85), Développement Mobile : Android (Kotlin) (0.75), Backend : Node.js (0.60)"
cv-00004.txt,job-00003.txt,BERT,0.9081901133060455,"Java (1.00), Node.js (0.91), React (0.82)"
cv-00004.txt,job-00003.txt,Word2Vec,0.9162496864795684,"Java (1.00), Node.js (0.85), SQLite (0.76)"
cv-00004.txt,job-00003.txt,ChatGPT,0.2,"Développement Mobile (iOS) (0.85), Développement Mobile (Android) (0.75), Backend (Node.js) (0.60)"
cv-00004.txt,job-00004.txt,BERT,0.9114082455635071,"Java (1.00), Node.js (0.91), React (0.81)"
cv-00004.txt,job-00004.txt,Word2Vec,0.9158260941505432,"Java (1.00), Node.js (0.85), React (0.76)"
cv-00004.txt,job-00004.txt,ChatGPT,0.4,"Sécurité informatique (0.80), Développement logiciel (0.60), Tests de pénétration (0.30)"
cv-00004.txt,job-00005.txt,BERT,0.913411659002304,"Java (1.00), Node.js (0.91), React (0.81)"
cv-00004.txt,job-00005.txt,Word2Vec,0.9159187018871306,"Java (1.00), Node.js (0.85), React (0.77)"
cv-00004.txt,job-00005.txt,ChatGPT,0.4,"CI/CD automatisés (0.75), Infrastructures cloud (AWS, Azure, GCP) (0.60), Scripting (Python, Bash, PowerShell) (0.45)"
cv-00004.txt,job-00006.txt,BERT,0.9111432075500487,"Java (1.00), Node.js (0.91), React (0.81)"
cv-00004.txt,job-00006.txt,Word2Vec,0.9168276757001876,"Java (1.00), Node.js (0.85), React (0.76)"
cv-00004.txt,job-00006.txt,ChatGPT,0.2,"Développement Mobile (0.85), Frameworks (0.30), Backend (0.10)"
cv-00004.txt,job-00007.txt,BERT,0.9094984501600265,"Java (1.00), Node.js (0.91), React (0.81)"
cv-00004.txt,job-00007.txt,Word2Vec,0.9165040671825408,"Java (1.00), Node.js (0.85), SQLite (0.76)"
cv-00004.txt,job-00007.txt,ChatGPT,0.2,"Java (0.95), SQL (0.65), Git (0.30)"
cv-00004.txt,job-00008.txt,BERT,0.9029698371887207,"Java (1.00), Node.js (0.91), React (0.82)"
cv-00004.txt,job-00008.txt,Word2Vec,0.915248480439186,"Java (1.00), Node.js (0.86), React (0.77)"
cv-00004.txt,job-00008.txt,ChatGPT,0.2,"Développement Mobile (0.85), Frameworks (0.30), Backend (0.20)"
cv-00004.txt,job-00009.txt,BERT,0.9068390309810639,"Java (1.00), Node.js (0.91), React (0.81)"
cv-00004.txt,job-00009.txt,Word2Vec,0.915889823436737,"Java (1.00), Node.js (0.85), SQLite (0.76)"
cv-00004.txt,job-00009.txt,ChatGPT,0.2,"Développement Mobile (iOS) (0.85), Développement Mobile (Android) (0.75), Backend (Node.js) (0.60)"
cv-00004.txt,job-00010.txt,BERT,0.9104071378707885,"Java (1.00), Node.js (0.91), React (0.81)"
cv-00004.txt,job-00010.txt,Word2Vec,0.9157683104276657,"Java (1.00), Node.js (0.85), SQLite (0.76)"
cv-00004.txt,job-00010.txt,ChatGPT,0.2,"C++ (0.75), Linux (0.30), Git (0.00)"
cv-00005.txt,job-00001.txt,BERT,0.8874577403068543,"Docker (1.00), IoT (0.95), Java (0.94)"
cv-00005.txt,job-00001.txt,Word2Vec,0.8918279170989991,"IoT (1.00), Docker (0.97), Java (0.94)"
cv-00005.txt,job-00001.txt,ChatGPT,0.2,"Python (0.30), SQL (0.00), Java (0.15)"
cv-00005.txt,job-00002.txt,BERT,0.8868170410394669,"Docker (1.00), IoT (0.95), Java (0.94)"
cv-00005.txt,job-00002.txt,Word2Vec,0.8919740527868272,"IoT (1.00), Docker (0.97), Java (0.95)"
cv-00005.txt,job-00002.txt,ChatGPT,0.2,"JavaScript (0.95), React (0.90), Node.js (0.85)"
cv-00005.txt,job-00003.txt,BERT,0.8840373873710633,"Docker (1.00), IoT (0.95), Java (0.93)"
cv-00005.txt,job-00003.txt,Word2Vec,0.892084077000618,"IoT (1.00), Docker (0.96), Java (0.93)"
cv-00005.txt,job-00003.txt,ChatGPT,0.2,"Marketing (0.95), Management (0.80), Marketing digital (0.75)"
cv-00005.txt,job-00004.txt,BERT,0.8874688535928728,"Docker (1.00), IoT (0.95), Java (0.94)"
cv-00005.txt,job-00004.txt,Word2Vec,0.891799584031105,"IoT (1.00), Docker (0.97), Java (0.95)"
cv-00005.txt,job-00004.txt,ChatGPT,0.4,"Python (0.75), Java (0.50), JavaScript (0.50)"
cv-00005.txt,job-00005.txt,BERT,0.8893887519836426,"Docker (1.00), IoT (0.95), Java (0.94)"
cv-00005.txt,job-00005.txt,Word2Vec,0.8915579169988632,"IoT (1.00), Docker (0.96), Java (0.94)"
cv-00005.txt,job-00005.txt,ChatGPT,0.4,"DevOps (0.30), AWS (0.30), Python (0.25)"
cv-00005.txt,job-00006.txt,BERT,0.8866289287805558,"Docker (1.00), IoT (0.95), Java (0.94)"
cv-00005.txt,job-00006.txt,Word2Vec,0.8927332073450089,"IoT (1.00), Docker (0.97), Java (0.95)"
cv-00005.txt,job-00006.txt,ChatGPT,0.4,"Python (0.50), Machine Learning (0.00), Développement Python (0.40)"
cv-00005.txt,job-00007.txt,BERT,0.8847468584775926,"Docker (1.00), IoT (0.95), Java (0.94)"
cv-00005.txt,job-00007.txt,Word2Vec,0.8927503734827043,"IoT (1.00), Docker (0.97), Java (0.96)"
cv-00005.txt,job-00007.txt,ChatGPT,0.2,"Java (0.95), JavaScript (0.95), Docker (0.60)"
cv-00005.txt,job-00008.txt,BERT,0.8788072496652604,"Docker (1.00), IoT (0.95), Java (0.94)"
cv-00005.txt,job-00008.txt,Word2Vec,0.8912338972091676,"IoT (1.00), Docker (0.97), Java (0.94)"
cv-00005.txt,job-00008.txt,ChatGPT,0.2,"JavaScript (0.95), Java (0.85), Docker (0.60)"
cv-00005.txt,job-00009.txt,BERT,0.8828346848487855,"Docker (1.00), IoT (0.95), Java (0.94)"
cv-00005.txt,job-00009.txt,Word2Vec,0.8922252416610719,"IoT (1.00), Docker (0.97), Java (0.95)"
cv-00005.txt,job-00009.txt,ChatGPT,0.4,"Python (0.45), SQL (0.00), Agile (0.00)"
cv-00005.txt,job-00010.txt,BERT,0.8859045177698136,"Docker (1.00), IoT (0.95), Java (0.94)"
cv-00005.txt,job-00010.txt,Word2Vec,0.8919100910425186,"IoT (1.00), Docker (0.97), Java (0.95)"
cv-00005.txt,job-00010.txt,ChatGPT,0.2,"Java (0.95), JavaScript (0.95), Docker (0.60)"
cv-00006.txt,job-00001.txt,BERT,1.0,"TypeScript (1.00), Java (0.99), JavaScript (0.97)"
cv-00006.txt,job-00001.txt,Word2Vec,1.0,"R (1.00), Java (0.95), Python (0.91)"
cv-00006.txt,job-00001.txt,ChatGPT,0.4,"Python (0.95), Java (0.95), AWS (0.30)"
cv-00006.txt,job-00002.txt,BERT,1.0,"TypeScript (1.00), Java (0.99), JavaScript (0.97)"
cv-00006.txt,job-00002.txt,Word2Vec,1.0,"R (1.00), Java (0.95), Python (0.91)"
cv-00006.txt,job-00002.txt,ChatGPT,0.4,"AWS (0.30), DevOps (0.35), Java (0.50)"
cv-00006.txt,job-00003.txt,BERT,1.0,"TypeScript (1.00), Java (0.99), JavaScript (0.97)"
cv-00006.txt,job-00003.txt,Word2Vec,1.0,"R (1.00), Java (0.93), Python (0.90)"
cv-00006.txt,job-00003.txt,ChatGPT,0.4,"AWS (0.30), Java (0.25), Spring Boot (0.10)"
cv-00006.txt,job-00004.txt,BERT,1.0,"TypeScript (1.00), Java (0.99), JavaScript (0.97)"
cv-00006.txt,job-00004.txt,Word2Vec,1.0,"R (1.00), Java (0.95), Python (0.92)"
cv-00006.txt,job-00004.txt,ChatGPT,0.6,"Python (0.95), Java (0.95), AWS (0.30)"
cv-00006.txt,job-00005.txt,BERT,1.0,"TypeScript (1.00), Java (0.98), JavaScript (0.97)"
cv-00006.txt,job-00005.txt,Word2Vec,1.0,"R (1.00), Java (0.92), Python (0.89)"
cv-00006.txt,job-00005.txt,ChatGPT,0.6,"AWS (0.45), CI/CD (0.30), DevOps (0.35)"
cv-00006.txt,job-00006.txt,BERT,1.0,"TypeScript (1.00), Java (0.99), JavaScript (0.97)"
cv-00006.txt,job-00006.txt,Word2Vec,1.0,"R (1.00), Java (0.94), Python (0.91)"
cv-00006.txt,job-00006.txt,ChatGPT,0.6,"Python (0.95), AWS (0.30), Docker (0.30)"
cv-00006.txt,job-00007.txt,BERT,1.0,"TypeScript (1.00), Java (1.00), JavaScript (0.98)"
cv-00006.txt,job-00007.txt,Word2Vec,1.0,"R (1.00), Java (0.98), Python (0.93)"
cv-00006.txt,job-00007.txt,ChatGPT,0.4,"Java (0.95), Spring (0.30), AWS (0.30)"
cv-00006.txt,job-00008.txt,BERT,1.0,"TypeScript (1.00), Java (0.99), JavaScript (0.98)"
cv-00006.txt,job-00008.txt,Word2Vec,1.0,"R (1.00), Java (0.97), Python (0.93)"
cv-00006.txt,job-00008.txt,ChatGPT,0.4,"AWS (0.30), Java (0.25), Python (0.20)"
cv-00006.txt,job-00009.txt,BERT,1.0,"TypeScript (1.00), Java (0.99), JavaScript (0.98)"
cv-00006.txt,job-00009.txt,Word2Vec,1.0,"R (1.00), Java (0.94), Python (0.92)"
cv-00006.txt,job-00009.txt,ChatGPT,0.4,"Python (0.95), Java (0.95), AWS (0.30)"
cv-00006.txt,job-00010.txt,BERT,1.0,"TypeScript (1.00), Java (0.99), JavaScript (0.97)"
cv-00006.txt,job-00010.txt,Word2Vec,1.0,"R (1.00), Java (0.95), Python (0.92)"
cv-00006.txt,job-00010.txt,ChatGPT,0.2,"Java (0.95), Python (0.95), AWS (0.30)"
cv-00007.txt,job-00001.txt,BERT,0.278857147693634,"Gestion de projet (1.00), Go (0.98), R (0.98)"
cv-00007.txt,job-00001.txt,Word2Vec,0.2944751411676407,"Gestion de projet (1.00), R (0.82), Go (0.69)"
cv-00007.txt,job-00001.txt,ChatGPT,0.2,"Expertise en droit des affaires, fusions-acquisitions, et droit des sociétés (0.90), Maîtrise du droit fiscal et du droit international des affaires (0.80), Compétences en négociation et résolution de conflits (0.70)"
cv-00007.txt,job-00002.txt,BERT,0.2779109001159668,"Gestion de projet (1.00), Go (0.98), R (0.98)"
cv-00007.txt,job-00002.txt,Word2Vec,0.294252535700798,"Gestion de projet (1.00), R (0.83), Go (0.69)"
cv-00007.txt,job-00002.txt,ChatGPT,0.2,"Expertise en droit des affaires, fusions-acquisitions, et droit des sociétés (0.90), Maîtrise du droit fiscal et du droit international des affaires (0.80), Compétences en négociation et résolution de conflits (0.70)"
cv-00007.txt,job-00003.txt,BERT,0.27784475684165955,"Gestion de projet (1.00), Go (0.98), R (0.98)"
cv-00007.txt,job-00003.txt,Word2Vec,0.29387645423412323,"Gestion de projet (1.00), R (0.83), Go (0.68)"
cv-00007.txt,job-00003.txt,ChatGPT,0.2,"Expertise en droit des affaires, fusions-acquisitions, et droit des sociétés (0.95), Maîtrise du droit fiscal et du droit international des affaires (0.85), Compétences en négociation et résolution de conflits (0.70)"
cv-00007.txt,job-00004.txt,BERT,0.27855186760425565,"Gestion de projet (1.00), Go (0.98), R (0.98)"
cv-00007.txt,job-00004.txt,Word2Vec,0.2944933444261551,"Gestion de projet (1.00), R (0.80), Go (0.66)"
cv-00007.txt,job-00004.txt,ChatGPT,0.2,"Expertise en droit des affaires, fusions-acquisitions, et droit des sociétés (0.90), Maîtrise du droit fiscal et du droit international des affaires (0.80), Compétences en négociation et résolution de conflits (0.70)"
cv-00007.txt,job-00005.txt,BERT,0.2789919823408127,"Gestion de projet (1.00), Go (0.98), R (0.98)"
cv-00007.txt,job-00005.txt,Word2Vec,0.2939182251691818,"Gestion de projet (1.00), R (0.84), Go (0.68)"
cv-00007.txt,job-00005.txt,ChatGPT,0.2,"Expertise en droit des affaires, fusions-acquisitions, et droit des sociétés (0.90), Maîtrise du droit fiscal et du droit international des affaires (0.80), Compétences en négociation et résolution de conflits (0.70)"
cv-00007.txt,job-00006.txt,BERT,0.27797403931617737,"Gestion de projet (1.00), Go (0.98), R (0.98)"
cv-00007.txt,job-00006.txt,Word2Vec,0.2944808900356293,"Gestion de projet (1.00), R (0.82), Go (0.68)"
cv-00007.txt,job-00006.txt,ChatGPT,0.2,"Expertise en droit des affaires, fusions-acquisitions, et droit des sociétés (0.90), Maîtrise du droit fiscal et du droit international des affaires (0.80), Compétences en négociation et résolution de conflits (0.70)"
cv-00007.txt,job-00007.txt,BERT,0.27492992877960204,"Gestion de projet (1.00), Go (0.98), R (0.98)"
cv-00007.txt,job-00007.txt,Word2Vec,0.29455030560493467,"Gestion de projet (1.00), R (0.81), Go (0.68)"
cv-00007.txt,job-00007.txt,ChatGPT,0.2,"Expertise en droit des affaires, fusions-acquisitions, et droit des sociétés (0.90), Maîtrise du droit fiscal et du droit international des affaires (0.85), Compétences en négociation et résolution de conflits (0.80)"
cv-00007.txt,job-00008.txt,BERT,0.27197699546813964,"Gestion de projet (1.00), Go (0.99), R (0.99)"
cv-00007.txt,job-00008.txt,Word2Vec,0.2942253649234772,"Gestion de projet (1.00), R (0.79), Go (0.68)"
cv-00007.txt,job-00008.txt,ChatGPT,0.2,"Expertise en droit des affaires, fusions-acquisitions, et droit des sociétés (0.90), Maîtrise du droit fiscal et du droit international des affaires (0.80), Compétences en négociation et résolution de conflits (0.70)"
cv-00007.txt,job-00009.txt,BERT,0.27567962408065794,"Gestion de projet (1.00), Go (0.98), R (0.98)"
cv-00007.txt,job-00009.txt,Word2Vec,0.29415464401245117,"Gestion de projet (1.00), R (0.80), Go (0.66)"
cv-00007.txt,job-00009.txt,ChatGPT,0.2,"Expertise en droit des affaires, fusions-acquisitions, et droit des sociétés (0.90), Maîtrise du droit fiscal et du droit international des affaires (0.85), Compétences en négociation et résolution de conflits (0.70)"
cv-00007.txt,job-00010.txt,BERT,0.2769229531288147,"Gestion de projet (1.00), Go (0.98), R (0.98)"
cv-00007.txt,job-00010.txt,Word2Vec,0.29398595094680785,"Gestion de projet (1.00), R (0.81), Go (0.67)"
cv-00007.txt,job-00010.txt,ChatGPT,0.2,"Expertise en droit des affaires, fusions-acquisitions, et droit des sociétés (0.90), Maîtrise du droit fiscal et du droit international des affaires (0.85), Compétences en négociation et résolution de conflits (0.70)"
cv-00008.txt,job-00001.txt,BERT,0.2858118206262588,"Analyse de données (1.00), Big Data (0.99), Gestion de projet (0.99)"
cv-00008.txt,job-00001.txt,Word2Vec,0.2947561740875244,"Analyse de données (1.00), Gestion de projet (1.00), Français (0.87)"
cv-00008.txt,job-00001.txt,ChatGPT,0.6,"Analyse de données (0.80), Python (0.70), R (0.60)"
cv-00008.txt,job-00002.txt,BERT,0.2838408529758453,"Analyse de données (1.00), Gestion de projet (1.00), Espagnol (0.99)"
cv-00008.txt,job-00002.txt,Word2Vec,0.2940971106290817,"Gestion de projet (1.00), Analyse de données (0.99), Français (0.88)"
cv-00008.txt,job-00002.txt,ChatGPT,0.2,"Analyse de données (0.85), Gestion de projet (0.70), R (0.60)"
cv-00008.txt,job-00003.txt,BERT,0.28257316946983335,"Gestion de projet (1.00), Analyse de données (1.00), Big Data (0.99)"
cv-00008.txt,job-00003.txt,Word2Vec,0.2943659394979477,"Gestion de projet (1.00), Analyse de données (0.99), Français (0.87)"
cv-00008.txt,job-00003.txt,ChatGPT,0.4,"Expertise en modélisation climatique et analyse de données environnementales (0.95), Gestion de projets de recherche internationaux (0.70), Rédaction scientifique et vulgarisation (0.60)"
cv-00008.txt,job-00004.txt,BERT,0.2832915186882019,"Analyse de données (1.00), Gestion de projet (0.99), Big Data (0.99)"
cv-00008.txt,job-00004.txt,Word2Vec,0.2956401228904724,"Gestion de projet (1.00), Analyse de données (1.00), Français (0.86)"
cv-00008.txt,job-00004.txt,ChatGPT,0.4,"Analyse de données (0.50), Gestion de projet (0.30), Français (0.20)"
cv-00008.txt,job-00005.txt,BERT,0.28482961356639863,"Analyse de données (1.00), Gestion de projet (1.00), Big Data (0.99)"
cv-00008.txt,job-00005.txt,Word2Vec,0.2942400723695755,"Gestion de projet (1.00), Analyse de données (1.00), Français (0.87)"
cv-00008.txt,job-00005.txt,ChatGPT,0.4,"Gestion de projet (0.80), Analyse de données (0.70), R (0.60)"
cv-00008.txt,job-00006.txt,BERT,0.2846243172883987,"Analyse de données (1.00), Gestion de projet (0.99), Big Data (0.99)"
cv-00008.txt,job-00006.txt,Word2Vec,0.29549186825752255,"Gestion de projet (1.00), Analyse de données (1.00), Français (0.86)"
cv-00008.txt,job-00006.txt,ChatGPT,0.2,"Python (0.90), Analyse de données (0.70), Gestion de projet (0.40)"
cv-00008.txt,job-00007.txt,BERT,0.28057050704956055,"Analyse de données (1.00), Gestion de projet (1.00), Espagnol (0.99)"
cv-00008.txt,job-00007.txt,Word2Vec,0.2953583925962448,"Gestion de projet (1.00), Analyse de données (0.99), Français (0.87)"
